157.23 Hz | Z: -9.09 Magnitude: 0.03
158.20 Hz | Z: -9.10 Magnitude: 0.02
159.18 Hz | Z: -9.10 Magnitude: 0.05
160.16 Hz | Z: -9.09 Magnitude: 0.04
161.13 Hz | Z: -9.10 Magnitude: 0.02
162.11 Hz | Z: -9.10 Magnitude: 0.01
163.09 Hz | Z: -9.11 Magnitude: 0.05
164.06 Hz | Z: -9.10 Magnitude: 0.01
165.04 Hz | Z: -9.10 Magnitude: 0.06
166.02 Hz | Z: -9.10 Magnitude: 0.02
166.99 Hz | Z: -9.10 Magnitude: 0.03
167.97 Hz | Z: -9.10 Magnitude: 0.04
168.95 Hz | Z: -9.11 Magnitude: 0.01
169.92 Hz | Z: -9.11 Magnitude: 0.01
170.90 Hz | Z: -9.11 Magnitude: 0.03
171.87 Hz | Z: -9.11 Magnitude: 0.03
172.85 Hz | Z: -9.11 Magnitude: 0.02
173.83 Hz | Z: -9.11 Magnitude: 0.01
174.80 Hz | Z: -9.11 Magnitude: 0.03
175.78 Hz | Z: -9.11 Magnitude: 0.02
176.76 Hz | Z: -9.11 Magnitude: 0.04
177.73 Hz | Z: -9.10 Magnitude: 0.01
178.71 Hz | Z: -9.10 Magnitude: 0.00
179.69 Hz | Z: -9.10 Magnitude: 0.00
180.66 Hz | Z: -9.10 Magnitude: 0.02
181.64 Hz | Z: -9.10 Magnitude: 0.03
182.62 Hz | Z: -9.10 Magnitude: 0.02
183.59 Hz | Z: -9.10 Magnitude: 0.03
184.57 Hz | Z: -9.10 Magnitude: 0.02
185.55 Hz | Z: -9.10 Magnitude: 0.02
186.52 Hz | Z: -9.10 Magnitude: 0.01
187.50 Hz | Z: -9.10 Magnitude: 0.02
188.48 Hz | Z: -9.10 Magnitude: 0.03
189.45 Hz | Z: -9.10 Magnitude: 0.03
190.43 Hz | Z: -9.10 Magnitude: 0.03
191.41 Hz | Z: -9.10 Magnitude: 0.03
192.38 Hz | Z: -9.09 Magnitude: 0.05
193.36 Hz | Z: -9.09 Magnitude: 0.01
194.34 Hz | Z: -9.09 Magnitude: 0.02
195.31 Hz | Z: -9.09 Magnitude: 0.01
196.29 Hz | Z: -9.09 Magnitude: 0.01
197.27 Hz | Z: -9.09 Magnitude: 0.02
198.24 Hz | Z: -9.09 Magnitude: 0.03
199.22 Hz | Z: -9.08 Magnitude: 0.01
200.20 Hz | Z: -9.08 Magnitude: 0.03
201.17 Hz | Z: -9.08 Magnitude: 0.04
202.15 Hz | Z: -9.08 Magnitude: 0.02
203.12 Hz | Z: -9.08 Magnitude: 0.04
204.10 Hz | Z: -9.08 Magnitude: 0.02
205.08 Hz | Z: -9.08 Magnitude: 0.02
206.05 Hz | Z: -9.08 Magnitude: 0.01
207.03 Hz | Z: -9.09 Magnitude: 0.02
208.01 Hz | Z: -9.08 Magnitude: 0.01
208.98 Hz | Z: -9.08 Magnitude: 0.03
209.96 Hz | Z: -9.08 Magnitude: 0.01
210.94 Hz | Z: -9.09 Magnitude: 0.04
211.91 Hz | Z: -9.09 Magnitude: 0.03
212.89 Hz | Z: -9.09 Magnitude: 0.03
213.87 Hz | Z: -9.09 Magnitude: 0.01
214.84 Hz | Z: -9.09 Magnitude: 0.04
215.82 Hz | Z: -9.09 Magnitude: 0.04
216.80 Hz | Z: -9.09 Magnitude: 0.01
217.77 Hz | Z: -9.10 Magnitude: 0.01
218.75 Hz | Z: -9.10 Magnitude: 0.02
219.73 Hz | Z: -9.10 Magnitude: 0.03
220.70 Hz | Z: -9.10 Magnitude: 0.04
221.68 Hz | Z: -9.10 Magnitude: 0.03
222.66 Hz | Z: -9.10 Magnitude: 0.01
223.63 Hz | Z: -9.10 Magnitude: 0.03
224.61 Hz | Z: -9.10 Magnitude: 0.03
225.59 Hz | Z: -9.10 Magnitude: 0.01
226.56 Hz | Z: -9.10 Magnitude: 0.03
227.54 Hz | Z: -9.10 Magnitude: 0.02
228.52 Hz | Z: -9.10 Magnitude: 0.03
